text;labels
'Barbaric' horse killings put French countryside on alert;['Health and Wellness', 'Science and Technology']
'Canary in the coal mine': Greenland ice has shrunk beyond return, study finds;['Politics', 'Science and Technology']
'Cyborg' technology could enable new diagnostics, merger of humans and AI;['Health and Wellness', 'Science and Technology']
'It's good to be home,' says Markle as she finds her voice in US;['Politics', 'Arts, Culture, and Entertainment']
'Paradise island' hosts untold botanical treasures;['Politics', 'Science and Technology']
'Skinny' house with absurd proportions perplexes TikTok users: 'How does someone live there';['Politics', 'Science and Technology']
'US May Be in For Its Worst Fall': As Death Toll Hits 1,70,000, Upcoming Flu Season Causes Panic;['Health and Wellness', 'Politics']
2 new cases of COVID-19 in Nova Scotia, exposure warnings issued for two flights;['Health and Wellness', 'Business and Finance']
20000 paper birds help fund COVID-19 units at Belgium hospital;['Politics', 'Arts, Culture, and Entertainment']
8 arrested over fraudulent registering of prepaid SIM cards after islandwide raids on mobile phone shops;['Business and Finance', 'Politics']
A 14,000-year-old puppy, whose perfectly preserved body was found in Russia, munched on a woolly rhino for its last meal;['Politics', 'Science and Technology']
A Faraday Future prototype hits the auction block;['Business and Finance', 'Science and Technology']
AWS begins rolling out quantum computing service Braket;['Business and Finance', 'Science and Technology']
Africa's confirmed COVID-19 tally pass 1.05 mln as death toll surges to 23582;['Health and Wellness', 'Politics']
Alberta family says it took 8 days to hear from contact tracers after positive COVID-19 tests;['Health and Wellness', 'Politics']
Alibaba's Freshippo says will test all Shenzhen employees for COVID-19;['Business and Finance', 'Health and Wellness']
Alicia Keys' new brand is 'not another celebrity beauty line';['Politics', 'Arts, Culture, and Entertainment']
Alpacas could help in fight against COVID-19;['Health and Wellness', 'Science and Technology']
Alyssa Milano 'felt like she was dying' from Covid-19;['Health and Wellness', 'Arts, Culture, and Entertainment']
Alyssa Milano says she's losing her hair after battling COVID-19 for months;['Health and Wellness', 'Arts, Culture, and Entertainment']
Alyssa Milano urges people to 'wear a mask' while detailing post-COVID-19 hair loss;['Health and Wellness', 'Arts, Culture, and Entertainment']
An irresistible scent makes locusts swarm, study finds;['Politics', 'Science and Technology']
Andrew Lloyd Webber volunteers for COVID-19 vaccine study 'to prove theatres can re-open safely';['Health and Wellness', 'Arts, Culture, and Entertainment']
Another UK city fears Government imposed local lockdown;['Business and Finance', 'Health and Wellness']
