text,topic
As NATO supply looms tankers’ owners warn of strike against theft kidnappings,Crime
Chattisinghpura massacre,Crime
 Farooqi condemns killing of seminary students,Crime
HRCP appalled by Khyber agent acquitting killers after jirga decree,Crime
Good life goes on as Syrian elite sit out war,Crime
100 in Indonesia’s Papua feared dead from malnutrition measles,Crime
Governor’s assassination – Killer has no remorse!,Crime
 Need stressed to adopt zero tolerance in rape cases,Crime
"In MP Murder, Bangladesh Cops Break Sewage Line That Connects To Crime Spot",Crime
3 more gunned down in fresh violence,Crime
Netanyahu pledges ‘massive strikes’ in Gaza as death toll reaches 23,Crime
Journalist shot dead in south Punjab,Crime
Karachi violence takes lives of 5 more people,Crime
 Famed Qawwal Sabri laid to rest: Police yet clueless of his assassins,Crime
Rights groups plead for life of ‘another’ condemned prisoner,Crime
Britney Spears Taylor Swift are top-earning women in music,Crime
 Polio worker killed in Jamrud,Crime
Spanish police hold 3 over Pakistan kidnap,Crime
Three killed four injured in violence,Crime
Swabi polio district coordinator shot dead,Crime
 Grozny: A firefighter walks through burned market pavilions in downtown.,Crime
Pakistan will not share US helicopter wreckage: Haqqani,Crime
16 teachers file harassment plea against admin officer,Crime
Three dead in Swiss shooting suspect wounded arrested,Crime
 Three US soldiers killed by IED blast in Afghanistan: Nato,Crime
 Iran mourns 7 Afghans killed fighting for Damascus ally,Crime
Six dacoits arrested after police encounter in Karachi,Crime
The son of disgraced Chinese politician Bo Xilai has told CNN the “facts will speak for themselves” in the case of his mother who goes on trial Thursday over the murder of…,Crime
HRW accuses govt of rights abuses in Balochistan,Crime
Dengue kills 6 more in Lahore,Crime
SP escapes life bid in Quetta,Crime
Police arrest 12 Afghan refugees in Kohat operation,Crime
Nationwide anti-terror action continues,Crime
Roof top collapse kills 3 family members,Crime
Parents forgive teacher for beating up their minor daughter with a stick in Lahore because ‘he’s their neighbour’,Crime
Two brothers killed in Chaman,Crime
Indian court charges ex-editor with raping colleague,Crime
Kidnapped Polish engineer killed by Taliban in tribal clash: Aurackzai tribe sources,Crime
60 Indian Nationals Arrested In Sri Lanka For Cyber Crime Operations,Crime
Police arrest 5 suspects in Karachi in search operation,Crime
History repeating itself?,Crime
 CTD raids Madressah in Lahore; arrests two suspects,Crime
Three Lahore policemen arrested for beating an eight-year-old and burning him with a hot iron,Crime
CTD inspector two terrorists killed in shootout,Crime
Stolen car liquor seized,Crime
Another traffic policeman shot dead,Crime
Murdered student Hamza’s family demands Chief Justice to take notice,Crime
No clue of Shahbaz Bhatti killers,Crime
 Badin woman allegedly killed by father-in-law,Crime
Peshawar school principal booked for sexual abuse of schoolchildren,Crime
Supreme Court refers Kohistan honour killing case to the Peshawar High Court,Crime
Man who allegedly raped Imam’s son arrested in Rawalpindi,Crime
 3 children killed 10 injured in Karachi Madrasah blast,Crime
Turkey police seize over 26000 historical artifacts,Crime
One-wheeling claims two lives in Sukkur; five wounded in Hyderabad cracker blast,Crime
Nigeria stops pilgrimages to Mecca over women row,Crime
 Five killed 11 injured in coach-truck collision  in Mardan,Crime
 5 including political activist gunned down,Crime
Gujranwala rife with blasphemy riots,Crime
Intezar murder case: Eight suspects sent to jail on judicial remand,Crime
 8 including doctor ANP man shot dead,Crime
Hong Kong police arrest 21 Uber drivers in latest crackdown,Crime
Police seize child porn in widespread Brazil raids,Crime
Spanish gang stops trains for graffiti,Crime
CPLC AVCC recover abducted child after 15 days,Crime
Police arrest four suspects seize ammunition,Crime
Mumbai attacks suspect Abu Hamza arrested: Krishna,Crime
Assault case puts spotlight on rape culture at US campuses,Crime
 Malik suspends police officials for negligence,Crime
Mumtaz explains why he killed Taseer?,Crime
Robbers murdered two men in Bilal Colony on Friday when they tried to resist the robbery attempt. The duty officer at the Quaidabad police station told Pakistan Today that the robbers shot Sher…,Crime
Four-year-old loses eyesight due to alleged torture by principal,Crime
3 soldiers martyred in ambush near Lakki Marwat,Crime
Liaqat Baloch to blame: ISO,Crime
SHC seeks comments from Rangers police in missing person case,Crime
Police Access Service inaugurated in Hangu,Crime
Shin holds onto lead at Women’s British Open,Crime
Kala Shadian UC chairman dies in firing incident,Crime
Djokovic a fan of roof lights action,Crime
 Up to 75 feared dead in Australia boat capsize: police,Crime
US Justice Dept charge alleged al-Qaeda associate with conspiring  9/11 says officials,Crime
Hearing against arrests of Sufi Muhammad's sons approved,Crime
Rohingya leader detained by Bangladesh police in refugee camp,Crime
Red Cross to reduce Afghanistan presence after deadly attacks,Crime
GM fires several employees after probe into Tavera recall,Crime
US subverting Pakistan’s war on terror,Crime
India doesn’t want to escalate situation says Swaraj after Pakistan downs two jets,Crime
 HYDERABAD: Karate athletes demonstrate their skills during District Hyderabad Police National Kyokushin Karate Championship at Police ground.,Crime
 More than 120 held as Police cracks down on gangs,Crime
#MeToo: Meesha Shafi says Ali Zafar sexually harassed her,Crime
Peshawar mortars attack hurt 22 including women children,Crime
14 Cybercrooks Operating From Jamtara Arrested In A Week,Crime
Nigerian national arrested in Abbottabad over charges of committing Rs4m fraud,Crime
Suspected bomber killed in Lakki Marwat,Crime
K-Electric conducts anti-power theft drive in Landhi’s Babar Market,Crime
MNA Jamshed Dasti’s brother arrested for stealing timber,Crime
Five terrorists shot dead as major terrorism plot foiled in Nankana Saheb,Crime
 3 killed 6 injured in call violence,Crime
18-year-old girl allegedly raped in Lahore,Crime
Tunisia arrests two allies of Ben Ali – agency,Crime
Davis indicted in double murder case,Crime
Top cop records statement in Murtaza murder case,Crime
Pakistani brothers plead guilty to New York terror plot,Crime
"Elderly Man Killed By Son, Nephew, Body Dumped In Maharashtra Forest: Cops",Crime
Wife of Pakistani killed by Davis commits suicide,Crime
Unsuccessful lover commits suicide,Crime
Seven more shot dead in Karachi dozen arrested,Crime
21 suspects arrested during search operation in Lahore,Crime
Izhar arrest was legal says Rao,Crime
