text,topic
‘The Bachelorette’ Fans Fired Up Over Mike Johnson’s Adorable Nickname for Michelle Young,"Arts, Culture, and Entertainment"
Washington Post Inadvertently Publishes Article Declaring Joe Biden Candidacy,"Arts, Culture, and Entertainment"
Tinkerers Turn to Home-Automation,"Arts, Culture, and Entertainment"
Singer-Songwriter Ed Sheeran Now Isolating After Testing Positive For Covid-19,"Arts, Culture, and Entertainment"
How One Man is Using Instagram to Make Nutsacks Beautiful,"Arts, Culture, and Entertainment"
Parkinson's hasn't kept Arlington Heights man from a full life,"Arts, Culture, and Entertainment"
Jane Fonda sells northern New Mexico ranch after a year on the market; was listed at $19.5M,"Arts, Culture, and Entertainment"
Celebrity baby names: The best of the unique,"Arts, Culture, and Entertainment"
Photos: Jägermeister Country Tour at the Shrine Mosque,"Arts, Culture, and Entertainment"
Women artists get their due in Irvine,"Arts, Culture, and Entertainment"
Woman Hangs Upside Down from a Helicopter Above Racetrack,"Arts, Culture, and Entertainment"
Silento Debuts New Song 'All About You',"Arts, Culture, and Entertainment"
Parabola West releases new single,"Arts, Culture, and Entertainment"
Ex-soldier upset by no jail time recommendation for Bergdahl,"Arts, Culture, and Entertainment"
"Roy Orbison's Historic MGM Catalog Chronicled In December 4 Release Of 'The MGM Years' Box Set + 'One Of The Lonely Ones, 'His ""Lost"" Album From 1969, Commemorating 50th Anniversary Of Groundbreaking MGM Signing","Arts, Culture, and Entertainment"
Sudeep shoots 15 hours non-stop for Bigg Boss 3,"Arts, Culture, and Entertainment"
Police: Wiz Khalifa cited for public urination in Pittsburgh,"Arts, Culture, and Entertainment"
"Marvel announces 'Ant-Man and the Wasp,' bumps back 'Captain Marvel' (again)","Arts, Culture, and Entertainment"
X Factor's Mason Noise hits bum note with Simon Cowell over short audition - Guardian-series.co.uk,"Arts, Culture, and Entertainment"
Spade opens up about Murphy feud,"Arts, Culture, and Entertainment"
The Music Industry Desperately Needs A Global Rights Database But No One Knows Who Will Pay For It,"Arts, Culture, and Entertainment"
"Adele releases new single 'Hello', first in three years | Entertainment & Showbiz from CTV News","Arts, Culture, and Entertainment"
What happened to the cast of 'All That'? [SLIDESHOW],"Arts, Culture, and Entertainment"
Horizon Forbidden West Details Aloy's New Abilities and Tools,"Arts, Culture, and Entertainment"
Johnny Strange dead: Renowned adventurer dies in Wing suiting accident at 23,"Arts, Culture, and Entertainment"
"Sting wants to sing in Cuba before Jagger, guitarist says | Entertainment & Showbiz from CTV News","Arts, Culture, and Entertainment"
Plan a harvest picnic with tips from top chefs,"Arts, Culture, and Entertainment"
‘Angry’ Depp on target as Irish godfather,"Arts, Culture, and Entertainment"
Chris Rock to host 88th Academy Awards,"Arts, Culture, and Entertainment"
JWoww Announces Second Pregnancy at Wedding to Roger Mathews,"Arts, Culture, and Entertainment"
Tanzania: Wildlife activists praise arrest of Chinese woman,"Arts, Culture, and Entertainment"
Lenovo Vibe P1 and Vibe P1m launched with Gigantic Battery,"Arts, Culture, and Entertainment"
Gwen Stefani on Blake Shelton Dating Rumors: 'Everybody Is in Such a Good Place',"Arts, Culture, and Entertainment"
Will self-serve beer render bartenders obsolete? | Science & Technology,"Arts, Culture, and Entertainment"
What makes Tamannah happy?,"Arts, Culture, and Entertainment"
Egyptian bloc pulls out of parliamentary polls,"Arts, Culture, and Entertainment"
Detroit museum hosts new government art website event,"Arts, Culture, and Entertainment"
Yahoo Loses $42M on Community Other Originals,"Arts, Culture, and Entertainment"
"New this week: Kaepernick, Sheeran and 'Star Trek' spin-off","Arts, Culture, and Entertainment"
Longtime Mets fan Jerry Seinfeld once displayed fandom for Cubs - Chicago,"Arts, Culture, and Entertainment"
Kern & Hammerstein's Show Boat Live From Lincoln Center,"Arts, Culture, and Entertainment"
Why Every Kid Should Read Tales of Akbar and Birbal (Bijayani swain),"Arts, Culture, and Entertainment"
National Independent Venue Assn. to Be Honored at 2021 Rock & Roll Hall of Fame Ceremony,"Arts, Culture, and Entertainment"
David Beckham Never Wants to Cut Harper's Hair!,"Arts, Culture, and Entertainment"
Funeral of Jim Carrey's ex-girlfriend Cathriona White to be held in Ireland,"Arts, Culture, and Entertainment"
Playboy Takes Next Step in Major Brand Re-Alignment with Transformative Changes to Its Flagship Magazine,"Arts, Culture, and Entertainment"
Man found dead on Metra train in Aurora Aurora Beacon-News,"Arts, Culture, and Entertainment"
'Dead' Indian man wakes up minutes before post-mortem,"Arts, Culture, and Entertainment"
These Ladies Brought Their A-Game To ‘Fashion Rocks’ [SLIDESHOW],"Arts, Culture, and Entertainment"
The Witcher Season 2 Will Reportedly Make Big Character Reveal,"Arts, Culture, and Entertainment"
