text,topic
Treasuries Lower Before Five-Year Auction  NEW YORK (Reuters) - U.S. Treasury prices eased on  Wednesday as the market prepared to absorb \$24 billion in new  supply just a few days before a jobs report which could set the  trend for yields for weeks to come.,Business and Finance
"U.S. Treasuries on Firm Footing  LONDON (Reuters) - U.S. Treasury prices were higher on  Friday, cementing gains made the previous day, in the face of  growing speculation that the pace of U.S. interest rate hikes  could slow.",Business and Finance
"Shell to boost investment to replace missing oil reserves LONDON : Royal Dutch/Shell announced plans to boost investment in exploration and production, making the replacement of its reserves a top priority as it seeks to restore battered investor confidence.",Business and Finance
IBM Settles Pension Claims IBM on Wednesday said it has settled portions of an ongoing lawsuit related to its pension plan and said the potential liability for the other claims that remain on appeal is capped at \$1.,Business and Finance
Trump #39;s Casino Business Files for Bankruptcy The casino empire of Donald J. Trump has filed for bankruptcy protection after months of negotiations with bondholders over restructuring a crushing debt.,Business and Finance
"Justice Dept. Opens Fannie Criminal Probe  NEW YORK (Reuters) - The Justice Department has opened an  investigation of possible accounting fraud at Fannie Mae, the  Wall Street Journal reported on Thursday, after a federal  regulator said the mortgage giant may have manipulated its  earnings targets.",Business and Finance
"Oil Prices and Drug Safety Comments Send Shares Lower Investors sent stocks markedly lower yesterday as oil prices reached \$53 a barrel during the trading session and new questions were raised about the safety of arthritis drugs, putting pressure on pharmaceutical shares.",Business and Finance
"Biogen, Elan merger rumors persist Biogen Idec in Cambridge is rumored to be in talks to buy or merge with Elan Corp. in Ireland, though the later company denies any such conversation is taking place, Bloomberg News is reporting.",Business and Finance
Taser Stun Guns OKed for Use on Flights Taser International Inc. on Monday said its stun guns were approved by the Department of Homeland Security #39;s Transportation Security Administration for use onboard a major international commercial airline.,Business and Finance
US Airways Said to Plan to Ask Court for Pay Cuts US Airways plans to ask a federal bankruptcy judge to impose temporary pay cuts on its workers unless it can reach agreement with its unions before then.,Business and Finance
Telstra to buy Digicel Pacific in $1.6bn deal,Business and Finance
"Stocks Set to Open Little Changed  NEW YORK (Reuters) - Wall Street is set to open little  changed on Monday as crude prices remain near their record  highs, but insurers may slip on worries about their potential  liabilities after a hurricane struck Florida on Friday.",Business and Finance
Newmont welcomes release of its executives in Indonesia? (Updated &lt;b&gt;...&lt;/b&gt; US mining giant Newmont Mining Corp. on Sunday welcomed the release of five of its executives who were detained in Indonesia last month amid claims one of the company #39;s gold mines polluted a bay in central Indonesia.,Business and Finance
The Next Big Cheese Will the next person to fill Michael Eisner's shoes ask for glass slipper shoehorns or odor eaters?,Business and Finance
Burger King parent earnings beat but labor challenges weigh on sales,Business and Finance
