text,topic
"Red-hot Oswalt gets nod in Game 2 How many teams can save a 20-game winner for Game 2 of a playoff series? One. And with Roy Oswalt set for a postseason start four years in the making, the Houston Astros are feeling pretty good.",Sports
"Bama offense faces tough test Like most Alabama fans, injured quarterback Brodie Croyle will sweat out tonight #39;s LSU game at home. If, somehow, the Crimson Tide can knock off the 17th-ranked Tigers, Croyle ",Sports
"Poutianen Wins Aspen GS ASPEN - Finn Tanja Poutianen won the second giant slalom of the season Friday, holding off defending World Cup champ Anja Paerson of Sweden by 0.09 seconds.",Sports
Will Zook Get the Hook After Gators' Loss? (AP) AP - Ron Zook has taken the Florida Gators to a new low  #151; for the third straight season.,Sports
Henman Battles Into Basel Quarterfinals British second seed Tim Henman came through an unexpectedly tough second round match with South Africa #39;s Wesley Moodie to reach the quarterfinals of the Swiss Indoors tournament Thursday.,Sports
"Playing catch-up with the future Every day they wait on Eli Manning here, the pressure percolates. Behind a crumbling offensive line and a suddenly tenuous season, there will be less and less patience for the NFL #39;s No.",Sports
Three pronged Coolmore challenge for Godolphin,Sports
"1914 Baseball Card Set Sells for  #36;800,000 (AP) AP - A complete set of 1914 Cracker Jack baseball cards featuring ""Shoeless"" Joe Jackson and Ty Cobb has been sold for a record  #36;800,000.",Sports
I don’t agree with you – Nuno rejects suggestion Spurs have creativity problem,Sports
"No longer feared by rivals, Serena just sheep in wolf #39;s clothing MUCH of the New York mentality these days is governed by what is said on late-night television talk shows. So when one particular inquisitor asked Maria Sharapova to explain how she was able to dismantle such ",Sports
WENGER GUNNING FOR MORE GLORY Arsene Wenger has pledged to remain Arsenal manager as long as he is able to continue the work he is doing now. Wenger has signed a three-year extension to his current deal that will keep him with the London outfit until 2008.,Sports
"Sports Scene: DC United wins MLS Cup CARSON, CALIF. - DC United won an unprecedented fourth Major League Soccer Cup on Sunday, beating Kansas City 3-2. United spotted the Wizards an early goal, then scored three times in a seven-minute span of the first half to move in front for good.",Sports
"Cards RB Smith leaves game with toe injury TEMPE, Ariz. (Nov. 28, 2004) -- Emmitt Smith was knocked out of the game against the New York Jets in the first quarter with a toe injury.",Sports
"Regardless of age, Oklahoma tailback should win Heisman Trophy Last week I solicited readers #39; opinions about what I should do with my Heisman ballot, and they responded to the tune of more than 1,000 e-mails.",Sports
Josh Giddey impresses with best NBA outing yet after painful clash with Joel Embiid - Wide World of Sports,Sports
19/10/04 Cup Bets In Chaos As Archie Under Cloud Melbourne Cup betting was thrown into disarray with equal favourite She #39;s Archie battling to be fit for the race in a fortnight.,Sports
Earthquakes Tie Burn to Clinch Playoffs (AP) AP - The San Jose Earthquakes clinched the final playoff spot in the Western Conference by tying the Dallas Burn 2-2 on Saturday night in the season finale for both teams.,Sports
Schilling prepared to go on the attack New York- The Yankees and Red Sox have been there and done that. They #39;re about to do it again tonight in Game 1 of the American League Championship Series.,Sports
"Urlacher sidelined with leg injury Lake Forest, IL (Sports Network) - Chicago Bears Pro Bowl linebacker Brian Urlacher is expected to be sidelined four-to-six weeks because of a lower left leg injury.",Sports
"‘James Harden gave Rockets the middle finger, Ben Simmons is paid $200M and you are his mercy’: Charles Barkley slams superstars and their egos",Sports
"U.S.C. Stays Atop A.P. Poll; Okla. Earns No. 2 U.S.C. received 46 first-place votes in The Associated Press poll released Sunday, eight fewer than last week.",Sports
"Hornets Top Warriors 98-89 (AP) AP - Dan Dickau scored a career-best 23 points and the New Orleans Hornets won their first home game of the season, 98-89 over the Golden State Warriors on Wednesday night.",Sports
US drubs Panama 6-0 in Cup qualifying Established star Landon Donovan and rising sensation Eddie Johnson carried the United States into the regional qualifying finals for the 2006 World Cup in emphatic fashion Wednesday night.,Sports
Baseball: Economics and the Playoffs Description: NPR #39;s Robert Siegel talks with our regular sports commentator Stefan Fatsis of The Wall Street Journal about Major League baseball.,Sports
"Busch Remains the Man to Beat in the Race for Nascar #39;s Nextel Cup With drivers like Jeff Gordon, Dale Earnhardt Jr., Jimmie Johnson and Mark Martin in the field for Nascar #39;s Chase for the Nextel Cup championship, there are plenty of intriguing and compelling story lines to follow.",Sports
Theme park Leave it to the greatest rivalry in sports to nearly turn a lovefest into an alley fight.,Sports
Keeper Barthez misses French date France goalkeeper Fabien Barthez misses Wednesday #39;s friendly against Poland after suffering a knee injury playing for Olympique Marseille at the weekend.,Sports
Grizzlies Coach Retires for Health Reasons (AP) AP - Hubie Brown retired as coach of the Memphis Grizzlies on Thursday due to health reasons.,Sports
Chelsea Deny Chasing Defoe Chelsea have followed Tottenham in pouring cold water on rumours that England striker Jermain Defoe was set for a switch across London.,Sports
"Bengals step up to Monday Night challenge It #39;s not often that the Cincinnati Bengals get to flash their skills in front of a national audience. In fact, it had been 12 years since Cincinnati had appeared ",Sports
"Once again, Warnes bowling the wrong line Who would have believed it? That Shane Warne would act like a dumb blond and forget that he had a role to play in Australias Bangalore victory.",Sports
Benitez Laughing All the Way to the Bank Rafael Benitez won a prized reputation in Spain as a lucky manager...and hes certainly brought all that good fortune with him to Liverpool.,Sports
"Arsenal loss of form is a crisis, says Wenger Arsene Wenger says Arsenal #39;s loss of form adds up to a crisis at Highbury but believes the feeling inside the club remains optimistic.",Sports
"Sun edges Storm in Game One of WNBA Finals UNCASVILLE, Connecticut (Ticker) - Katie Douglas and the Connecticut Sun had just enough poise in their first WNBA Finals contest.",Sports
Jacobs rink opens Grand Slam of Curling schedule with championship appearance,Sports
Jefferson pledges to stay hungry Richard Jefferson promises to still be the first one in and the last one out every practice. This from a guy who has played more basketball than any NBA player over ,Sports
"Man Utd deny receiving firm takeover bid MANCHESTER, Oct 15 (SW) - Following the recent speculation over a potential takeover bid issued by US tycoon Malcolm Glazer, Manchester United have announced they have yet to receive a firm offer.",Sports
"Notre Dame 28, No. 8 Michigan 20 Freshman Darius Walker had two fourth-quarter touchdowns and the Fighting Irish renewed hope for a turnaround season by upsetting the eighth-ranked Wolverines 28-20 on Saturday.",Sports
NJ ref a key part of Ruiz-Golota Andrew Golota was on his absolute best behavior when he challenged Chris Byrd seven months ago at Madison Square Garden. His  quot;Foul Pole quot; persona was a no-show.,Sports
